name,lr,dropout,weight_decay,scheduler,best_val_acc
baseline,0.001,0.5,0.0,False,89.66500356379187
lr_5e4,0.0005,0.5,0.0,False,91.37562366357805
lr_2e3,0.002,0.5,0.0,False,86.24376336421953
dropout_0.3,0.001,0.3,0.0,False,92.15965787598005
dropout_0.7,0.001,0.7,0.0,False,87.66928011404134
weight_decay,0.001,0.5,0.0001,False,89.4511760513186
scheduler,0.001,0.5,0.0,True,90.37776193870278
batchnorm,0.001,0.5,0.0,False,90.87669280114041
augment,0.001,0.5,0.0,False,89.5224518888097
larger_model,0.001,0.5,0.0,False,90.44903777619388
